sku,title,shopify,amazon,etsy,google,notes
217_TP H_L_,Toilet paper holder burned wood,active,B07T2D1T65,,yes,etsy: no connector
281_TP H__,Toilet Paper Holder Half Circle,active,B07P8214FS,,yes,etsy: no connector
154_TP M__,Toilet paper holder metal BRICKS (dark grey),active,B07P8214FS,,yes,etsy: no connector
63_TP H_WOOD_,Toilet paper holder MINI Honeycomb,active,B07P8214FS,,yes,etsy: no connector
74_TP H__,Toilet paper holder mini metal and wood combination,active,B07P8214FS,,yes,etsy: no connector
48_TP H__,Toilet paper holder mini metal V shape,active,B07P8214FS,,yes,etsy: no connector
208__BLAC_,Toilet paper holder stand Coral,draft,B07P8214FS,,no,draft; etsy: no connector
331_TP H_WALN_,Toilet Paper Holder U shape,active,B07T2D1T65,,yes,etsy: no connector
64_TP H_WOOD_,Toilet paper holder wall mounted Bricks,active,B07T2D1T65,,yes,etsy: no connector
63_TP H_WOOD_,Toilet paper holder wall mounted MINI Honeycomb,active,B07P8214FS,,yes,etsy: no connector
218_TP H_BURN_,Toilet paper holder with shelf,active,B07T2D1T65,,yes,etsy: no connector
226_TP H_WHIT_,Toilet paper holder ZigZag,draft,B07T2D1T65,,no,draft; etsy: no connector
341_TOWE_WALN_,Towel Holder - Rustic Wave,active,B0DB5SFNCP,,yes,etsy: no connector
274_TOWE_BLAC_,Towel Holder Ashwood and Metal,active,B07T2D1T65,,yes,etsy: no connector
342_TOWE_WALN_,Towel Holder Wave with Shelf,active,B07T2D1T65,,yes,etsy: no connector
Beige,Towel rack bathroom towels holder,active,B0DB5SFNCP,,yes,etsy: no connector
32_TOWE_BEIG_,"Towel rack with mirror, Towel holder (beige; rustic)",active,B0DB5SFNCP,,yes,"amazon match likely, verify; etsy: no connector"
78_TOWE__,Towels holder solid steel metal,draft,B098QRN8G5,,no,"draft; amazon match likely, verify; etsy: no connector"
,Transformable  climber Triangle SET (white colour),draft,,,no,draft; no sku in shopify; etsy: no connector
